sample,v0,v1106,v308,v1618
0,6.036300308,3.358916293,1.839682087,6.244958094
1,6.284834346,3.252745116,1.848049488,6.4778337
2,6.520536226,3.144740009,1.859595371,6.695593319
3,6.744346842,3.036114455,1.872868965,6.899336851
4,6.956951924,2.927857305,1.886606808,7.089880821
5,7.158714984,2.82078728,1.899700635,7.267696589
6,7.349631501,2.715603103,1.911163759,7.432871777
7,7.529293337,2.612927125,1.920101472,7.585083483
8,7.696856336,2.513341649,1.925689473,7.723576219
9,7.851007956,2.417417508,1.927163699,7.847141628
10,7.989935592,2.325734114,1.923824944,7.954101012
11,8.111300407,2.238889405,1.91506194,8.042295707
12,8.212225959,2.157497115,1.900396631,8.109094495
13,8.28931572,2.082167853,1.879554626,8.151431426
14,8.338718023,2.013470078,1.852561512,8.165890834
15,8.356259589,1.951867837,1.81986092,8.148857618
16,8.337667298,1.897634791,1.782442549,8.096747864
17,8.278889339,1.850749403,1.741957931,8.006325132
18,8.176509026,1.810783993,1.700790675,7.875089658
19,8.028217624,1.77680958,1.662040369,7.701702417
20,7.833281661,1.747345739,1.629381268,7.486379265
21,7.592916201,1.720385735,1.606773797,7.2311727
22,7.310472198,1.69351782,1.598039685,6.940062523
23,6.991373067,1.66414314,1.606353568,6.618808534
24,6.642790192,1.629763912,1.633740395,6.274573172
25,6.27311162,1.588291951,1.680682841,5.915380601
26,5.891306583,1.538317119,1.74592675,5.54951712
27,5.506301401,1.479282694,1.826529696,5.1849801
28,5.126457945,1.41153702,1.918143337,4.82905117
29,4.759200064,1.336259413,2.015472763,4.488021831
30,4.410788753,1.255283707,2.112827965,4.167057862
31,4.086219138,1.170858717,2.204677028,3.870166464
32,3.789205187,1.08538977,2.286123749,3.600228271
33,3.522224585,1.001200837,2.353256932,3.359067007
34,3.286606739,0.920346003,2.403347595,3.147542668
35,3.082654294,0.8444855074,2.434897568,2.965662837
36,2.909790579,0.7748284969,2.447564038,2.812709203
37,2.766723803,0.71213434,2.441996884,2.687374555
38,2.651616344,0.6567580898,2.419628719,2.587902538
39,2.56224668,0.6087235986,2.382453127,2.512220747
40,2.496152944,0.567809024,2.332817523,2.45805825
41,2.450750507,0.5336327219,2.273246522,2.423041129
42,2.42342018,0.5057314583,2.206302082,2.404763009
43,2.411567674,0.4836265026,2.134479439,2.400831105
44,2.412658136,0.4668759285,2.060133375,2.408891118
45,2.424231653,0.4551131976,1.985427392,2.426636331
46,2.443906673,0.4480729451,1.912298385,2.451807317
47,2.4693784,0.4456050929,1.842430685,2.482188875
48,2.498418592,0.4476782705,1.777235394,2.515610335
49,2.52888194,0.4543733033,1.717833273,2.549954214
50,2.558722378,0.4658674458,1.665041581,2.583176401
51,2.586020455,0.4824102128,1.619367008,2.613338836
52,2.609020448,0.5042921189,1.581007732,2.638653043
53,2.626173596,0.5318082957,1.549867581,2.657530491
54,2.636182103,0.5652196325,1.525584249,2.668633837
55,2.63803772,0.6047145797,1.507571622,2.67092222
56,2.631049174,0.6503748536,1.495074095,2.663684219
57,2.614854202,0.702147908,1.487228668,2.646553689
58,2.589414366,0.7598282142,1.483129249,2.61950634
59,2.554993441,0.8230482907,1.481887254,2.582837768
60,2.512122517,0.8912792773,1.482683245,2.537126289
61,2.461556491,0.9638398909,1.484805925,2.483185619
62,2.404227212,1.03991199,1.487676661,2.422013193
63,2.341198174,1.11856075,1.490859679,2.354739532
64,2.273624628,1.198757589,1.494059512,2.282583013
65,2.202721628,1.279404331,1.497108303,2.206812941
66,2.129741122,1.359357572,1.499945913,2.128722296
67,2.055957963,1.437452681,1.502595737,2.049610213
68,1.98266376,1.512527258,1.505138716,1.970773212
69,1.911166776,1.58344416,1.507687558,1.893503456
70,1.842795614,1.649114378,1.5103626,1.819091826
71,1.778904069,1.708520085,1.51327034,1.748833273
72,1.720874347,1.760738123,1.516485317,1.684031739
73,1.670115712,1.804963996,1.520035814,1.626001793
74,1.628055684,1.840536171,1.523893768,1.576064222
75,1.596121189,1.866960073,1.527969241,1.535532981
76,1.575707657,1.883930718,1.532109738,1.505691468
77,1.568135136,1.891352456,1.536104625,1.487756939
78,1.574591911,1.889353888,1.539694692,1.482833163
79,1.596068027,1.878295824,1.542586626,1.491853075
80,1.633283124,1.858770231,1.544471734,1.515515009
81,1.686614912,1.831588588,1.545047778,1.5542179
82,1.756035942,1.797758877,1.54404228,1.608002165
83,1.841066814,1.758451649,1.541235308,1.676503583
84,1.940753117,1.714956804,1.53647958,1.758927003
85,2.053671474,1.668633959,1.529715862,1.854045162
86,2.177967039,1.620860045,1.520982084,1.960225399
87,2.311421367,1.572978061,1.510415264,2.075484056
88,2.451546204,1.526250653,1.498246131,2.197565353
89,2.595696088,1.481821321,1.484787146,2.324039016
90,2.741191019,1.440685031,1.470415248,2.452409315
91,2.885440005,1.403668756,1.455551039,2.580227516
92,3.026056868,1.371421526,1.440636318,2.705200002
93,3.160961057,1.344412795,1.426111739,2.825285315
94,3.28845799,1.32293758,1.412396133,2.938774749
95,3.407295344,1.307126793,1.39986869,3.044352665
96,3.516693621,1.296961302,1.388854794,3.141134331
97,3.616351005,1.292288588,1.37961595,3.228680519
98,3.706424029,1.292841082,1.372343914,3.306989553
99,3.787486899,1.298255548,1.367158866,3.376468671
